,Unnamed: 0,time,Day,Hour,Price,ERR,Date
36088,36088,2022-05-08 06:00:08.605093,Sunday,06:00,7.0,,2022-05-08
36089,36089,2022-05-08 06:00:33.901622,Sunday,06:00,7.0,,2022-05-08
36090,36090,2022-05-08 06:00:59.009386,Sunday,06:00,7.0,,2022-05-08
36091,36091,2022-05-08 06:01:24.113078,Sunday,06:01,7.0,,2022-05-08
36092,36092,2022-05-08 06:01:49.439579,Sunday,06:01,7.0,,2022-05-08
36093,36093,2022-05-08 06:02:14.537865,Sunday,06:02,7.0,,2022-05-08
36094,36094,2022-05-08 06:02:39.676879,Sunday,06:02,7.0,,2022-05-08
36095,36095,2022-05-08 06:03:05.050258,Sunday,06:03,7.0,,2022-05-08
36096,36096,2022-05-08 06:03:30.170155,Sunday,06:03,7.0,,2022-05-08
36097,36097,2022-05-08 06:03:55.293570,Sunday,06:03,7.0,,2022-05-08
36098,36098,2022-05-08 06:04:20.579720,Sunday,06:04,7.0,,2022-05-08
36099,36099,2022-05-08 06:04:45.687472,Sunday,06:04,7.0,,2022-05-08
36100,36100,2022-05-08 06:05:10.795228,Sunday,06:05,7.0,,2022-05-08
36101,36101,2022-05-08 06:05:36.118991,Sunday,06:05,7.0,,2022-05-08
36102,36102,2022-05-08 06:06:01.226746,Sunday,06:06,7.0,,2022-05-08
36103,36103,2022-05-08 06:06:26.329014,Sunday,06:06,7.0,,2022-05-08
36104,36104,2022-05-08 06:06:51.655526,Sunday,06:06,7.0,,2022-05-08
36105,36105,2022-05-08 06:07:16.790377,Sunday,06:07,7.0,,2022-05-08
36106,36106,2022-05-08 06:07:41.882533,Sunday,06:07,7.0,,2022-05-08
36107,36107,2022-05-08 06:08:07.255895,Sunday,06:08,7.0,,2022-05-08
36108,36108,2022-05-08 06:08:32.355056,Sunday,06:08,7.0,,2022-05-08
36109,36109,2022-05-08 06:08:57.462811,Sunday,06:08,7.0,,2022-05-08
36110,36110,2022-05-08 06:09:22.738503,Sunday,06:09,7.0,,2022-05-08
36111,36111,2022-05-08 06:09:47.846240,Sunday,06:09,7.0,,2022-05-08
36112,36112,2022-05-08 06:10:12.953979,Sunday,06:10,7.0,,2022-05-08
36113,36113,2022-05-08 06:10:38.257008,Sunday,06:10,7.0,,2022-05-08
36114,36114,2022-05-08 06:11:03.364721,Sunday,06:11,7.0,,2022-05-08
36115,36115,2022-05-08 06:11:28.480799,Sunday,06:11,7.0,,2022-05-08
36116,36116,2022-05-08 06:11:53.791619,Sunday,06:11,7.0,,2022-05-08
36117,36117,2022-05-08 06:12:18.893573,Sunday,06:12,7.0,,2022-05-08
36118,36118,2022-05-08 06:12:44.001309,Sunday,06:12,7.0,,2022-05-08
36119,36119,2022-05-08 06:13:09.359029,Sunday,06:13,7.0,,2022-05-08
36120,36120,2022-05-08 06:13:34.479589,Sunday,06:13,7.0,,2022-05-08
36121,36121,2022-05-08 06:13:59.602952,Sunday,06:13,7.0,,2022-05-08
36122,36122,2022-05-08 06:14:24.873040,Sunday,06:14,7.0,,2022-05-08
36123,36123,2022-05-08 06:14:50.012006,Sunday,06:14,7.0,,2022-05-08
36124,36124,2022-05-08 06:15:15.131723,Sunday,06:15,7.0,,2022-05-08
36125,36125,2022-05-08 06:15:40.458183,Sunday,06:15,7.0,,2022-05-08
36126,36126,2022-05-08 06:16:05.565910,Sunday,06:16,7.0,,2022-05-08
36127,36127,2022-05-08 06:16:30.685003,Sunday,06:16,7.0,,2022-05-08
36128,36128,2022-05-08 06:16:55.964589,Sunday,06:16,7.0,,2022-05-08
36129,36129,2022-05-08 06:17:21.068982,Sunday,06:17,7.0,,2022-05-08
36130,36130,2022-05-08 06:17:46.192331,Sunday,06:17,7.0,,2022-05-08
36131,36131,2022-05-08 06:18:11.628161,Sunday,06:18,7.0,,2022-05-08
36132,36132,2022-05-08 06:18:36.728518,Sunday,06:18,7.0,,2022-05-08
36133,36133,2022-05-08 06:19:01.851872,Sunday,06:19,7.0,,2022-05-08
36134,36134,2022-05-08 06:19:27.220784,Sunday,06:19,7.0,,2022-05-08
36135,36135,2022-05-08 06:19:52.359747,Sunday,06:19,7.0,,2022-05-08
36136,36136,2022-05-08 06:20:17.474674,Sunday,06:20,7.0,,2022-05-08
36137,36137,2022-05-08 06:20:42.754227,Sunday,06:20,7.0,,2022-05-08
36138,36138,2022-05-08 06:21:07.861969,Sunday,06:21,7.0,,2022-05-08
36139,36139,2022-05-08 06:21:32.950966,Sunday,06:21,7.0,,2022-05-08
36140,36140,2022-05-08 06:21:58.261793,Sunday,06:21,7.0,,2022-05-08
36141,36141,2022-05-08 06:22:23.377545,Sunday,06:22,7.0,,2022-05-08
36142,36142,2022-05-08 06:22:48.485256,Sunday,06:22,7.0,,2022-05-08
36143,36143,2022-05-08 06:23:13.964111,Sunday,06:23,7.0,,2022-05-08
36144,36144,2022-05-08 06:23:39.087442,Sunday,06:23,7.0,,2022-05-08
36145,36145,2022-05-08 06:24:04.195165,Sunday,06:24,7.0,,2022-05-08
36146,36146,2022-05-08 06:24:29.465383,Sunday,06:24,7.0,,2022-05-08
36147,36147,2022-05-08 06:24:54.573085,Sunday,06:24,7.0,,2022-05-08
36148,36148,2022-05-08 06:25:19.677586,Sunday,06:25,7.0,,2022-05-08
36149,36149,2022-05-08 06:25:44.988400,Sunday,06:25,7.0,,2022-05-08
